"imgPath","path","alt"
"","p01-home/btn-left-hover.png","arrow icon"
"","p01-home/btn-left.png","arrow icon"
"","p01-home/btn-right-hover.png","arrow icon"
"","p01-home/btn-right.png","arrow icon"
"","p01-home/icon.png","check icon"
"","p01-home/s01-img1.jpg","Home slider"
"","p01-home/s01-img2.jpg","Home slider"
"","p01-home/s02-1-img.jpg","solid surface basin"
"","p01-home/s03-img1.jpg","solid surface bathtub factory"
"","p01-home/s03-img2.jpg","arcylic solid surface bathtub factory"
"","p01-home/s03-img3.jpg","certifications of solid surface products"
"","p01-home/s04-img1.jpg","homepage slider"
"","p01-home/s04-img2.png","one-stop solid surface service"
"","p01-home/s04-img2（mobile）.png","one-stop solid surface production"
"","p01-home/s05-1-img.jpg","solid surface countertop and basin"
"","p01-home/s05-2-img.jpg","solid surface countertop"
"","p01-home/s05-3-img.jpg","solid surface bathtub in the washroom"
"","p01-home/s05-4-img.jpg","solid surface table "
"","p01-home/s05-5-img.jpg","solid surface office desk and chairs"
"","p01-home/s05-6-img.jpg","solid surface office desk"
"","p01-home/s05-7-img.jpg","solid surface table "
"","p01-home/s05-8-img.jpg","solid surface countertop"
"","p01-home/s07-img1.jpg","solid surface basin "
"","p01-home/s07-img2.jpg","solid surface vanitytop in orange"
"","p01-home/s07-img3.jpg","solid surface translucent sheet"
"","p01-home/s07-img4.jpg","solid surface table in texture pattern"
"","p01-home/s07-img5.jpg","solid surface bathtub"
"","p01-home/s08-img1.jpg","solid surface countertop in texture pattern"
"","p01-home/s08-img2.jpg","solid surface cabinet in translucent white"
"","p01-home/s08-img3.jpg","Custom olid surface desk"
"","p01-home/s08-img4.jpg","solid surface bathtub "
"","p01-home/s09-img1.jpg","the D LAS VEGAS Hotel logo"
"","p01-home/s09-img10.jpg","W DUBAI Al Habtoor City logo"
"","p01-home/s09-img11.jpg","Hard Rock HOTEL logo "
"","p01-home/s09-img12.jpg","Kempinski Hotels logo"
"","p01-home/s09-img13.jpg","Cretan Pearl Resort and Spa logo"
"","p01-home/s09-img14.jpg","Nujum al salam hotel logo"
"","p01-home/s09-img15.jpg","Crowne Plaza Hotels and Resorts logo"
"","p01-home/s09-img16.jpg","Grand Mercure Hotels and Resorts logo"
"","p01-home/s09-img17.jpg","ONOMO Hotel Durban logo"
"","p01-home/s09-img18.jpg","Doubletree by hilton edinburgh airport logo"
"","p01-home/s09-img2.jpg","AC hotels logo"
"","p01-home/s09-img3.jpg","Hilton HOTELS and RESORTS logo"
"","p01-home/s09-img4.jpg","Renaissance dubai downtown hotel logo"
"","p01-home/s09-img5.jpg","Intercontinental hotels and resorts"
"","p01-home/s09-img6.jpg",""
"","p01-home/s09-img7.jpg","Harbor court logo"
"","p01-home/s09-img8.jpg","Marriott logo"
"","p01-home/s09-img9.jpg","Serrano Hotel logo"
"","p02-products/s01-img.jpg","product slider"
"","p02-1-wash-basin&amp;-sink/s01-img.jpg","solid surface wash basin and sink slider"
"","p02-1-wash-basin&amp;-sink/s03-img1.jpg","technicans are mixing the color"
"","p02-1-wash-basin&amp;-sink/s03-img2.jpg","Nonporous and pure solid surface sink"
"","p02-1-wash-basin&amp;-sink/s04-1-icon.png","design icon "
"","p02-1-wash-basin&amp;-sink/s04-2-icon.png","shape icon"
"","p02-1-wash-basin&amp;-sink/s04-3-icon.png","Size icon"
"","p02-1-wash-basin&amp;-sink/s04-4-icon.png","Sink accessory options icon"
"","p02-1-wash-basin&amp;-sink/s05-1-img1.jpg","custom solid surface wash basin with countertop in the washroom"
"","p02-1-wash-basin&amp;-sink/s05-1-img2.jpg","custom olid surface wash basin with countertop in the hotel"
"","p02-1-wash-basin&amp;-sink/s05-2-img1.jpg","custom solid surface sink with countertop"
"","p02-1-wash-basin&amp;-sink/s05-2-img2.jpg","custom solid surface sink in the kitchen"
"","p02-1-wash-basin&amp;-sink/s05-3-img1.jpg","custom solid surface sink with countertop in the kitchen"
"","p02-1-wash-basin&amp;-sink/s05-3-img2.jpg","solid surface wash basin "
"","p02-1-wash-basin&amp;-sink/s06-1-icon.png","surface finish icon"
"","p02-1-wash-basin&amp;-sink/s06-2-icon.png","close precesion icon"
"","p02-1-wash-basin&amp;-sink/s06-3-icon.png","thickness icon"
"","p02-1-wash-basin&amp;-sink/s06-4-icon.png","purity icon"
"","p02-1-wash-basin&amp;-sink/s06-img1.jpg","black and white solid surface sink in the factory"
"","p02-1-wash-basin&amp;-sink/s06-img2.jpg","solid surface molds in the factory"
"","p02-1-1-product-details/img.jpg","solid surface wash basin"
"","p02-1-1-product-details/s01-img.jpg","product slider"
"","p02-2-bathtub&amp;-other-bath-accessories/s01-img.jpg","solild surface bathtub and other bath accessories slider"
"","p02-2-bathtub&amp;-other-bath-accessories/s03-img.jpg","seamless solild surface product"
"","p02-2-bathtub&amp;-other-bath-accessories/s04-1-icon.png","design icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s04-2-icon.png","shape icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s04-3-icon.png","solid surface accessies icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s04-4-icon.png","size icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-1-img1.jpg","solid surface bathtub in the washroom"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-1-img2.jpg","oral-shaped solid surface bathtub "
"","p02-2-bathtub&amp;-other-bath-accessories/s05-2-img1.jpg","fan-shaped solid surface shower pan"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-2-img2.jpg","rectangle solid surface showerpan icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-3-img1.jpg","solid surface shower stool"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-4-img1.jpg","solid surface shower pan "
"","p02-2-bathtub&amp;-other-bath-accessories/s05-4-img2.jpg","solid surface product for shower system"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-5-img1.jpg","solid surface mirror"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-5-img2.jpg","solid surface shelf"
"","p02-2-bathtub&amp;-other-bath-accessories/s06-1-icon.png"," Production Capacity icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s06-2-icon.png","MOQ icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s06-3-icon.png","Production Precesion In Length icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s06-4-icon.png","Bespoke Projects icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s06-img1.jpg","corian bathtub workshop"
"","p02-2-bathtub&amp;-other-bath-accessories/s06-img2.jpg","technicians are polishing the surface of solid surface products"
"","p02-3-custom-countertop-&amp;-vanity-top/s01-img.jpg","countertop slider"
"","p02-3-custom-countertop-&amp;-vanity-top/s03-img1.jpg","different ways of making solid surface countertop more durable and stable"
"","p02-3-custom-countertop-&amp;-vanity-top/s03-img2.jpg","solid surface sheet with wood"
"","p02-3-custom-countertop-&amp;-vanity-top/s04-1-icon.png","thickness icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s04-2-icon.png"," Pattern and Color icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s04-3-icon.png","Sink Options icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s04-4-icon.png"," Faucet Hole Options icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s04-5-icon.png","Edge & Backlash Options icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s04-6-icon.png"," Shape & Surface Finish Options icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s05-1-img1.jpg","custom corian countertop with water sink"
"","p02-3-custom-countertop-&amp;-vanity-top/s05-1-img2.jpg","custom vanitytop"
"","p02-3-custom-countertop-&amp;-vanity-top/s05-2-img1.jpg","custom countertop in the kitchen"
"","p02-3-custom-countertop-&amp;-vanity-top/s05-2-img2.jpg","custom countertop"
"","p02-3-custom-countertop-&amp;-vanity-top/s05-3-img1.jpg","custom vanitytop"
"","p02-3-custom-countertop-&amp;-vanity-top/s05-3-img2.jpg","custom vanitytop"
"","p02-3-custom-countertop-&amp;-vanity-top/s05-4-img1.jpg","custom desk"
"","p02-3-custom-countertop-&amp;-vanity-top/s05-4-img2.jpg","custom bartop"
"","p02-3-custom-countertop-&amp;-vanity-top/s05-5-img1.jpg","custom corian products"
"","p02-3-custom-countertop-&amp;-vanity-top/s05-5-img2.jpg","custom corian desktop"
"","p02-3-custom-countertop-&amp;-vanity-top/s06-1-icon.png"," Production Capacity icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s06-2-icon.png","MOQ icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s06-3-icon.png","Production Precesion In Length icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s06-4-icon.png","Bespoke Projects icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s06-img1.jpg","slider"
"","p02-3-custom-countertop-&amp;-vanity-top/s06-img2.jpg"," solid surface workshop"
"","p02-4-solid-surface-sheet/s01-img.jpg","solid surface sheet slider"
"","p02-4-solid-surface-sheet/s03-img.jpg","LR logo"
"","p02-4-solid-surface-sheet/s04-1-icon.png","Pattern icon"
"","p02-4-solid-surface-sheet/s04-2-icon.png"," Color icon"
"","p02-4-solid-surface-sheet/s04-3-icon.png","Dimension icon"
"","p02-4-solid-surface-sheet/s04-4-icon.png","Surface Roughness icon"
"","p02-4-solid-surface-sheet/s04-5-icon.png","Logo icon"
"","p02-4-solid-surface-sheet/s05-1-img.jpg","custom corian vanitytop"
"","p02-4-solid-surface-sheet/s05-2-img.jpg","custom corian countertop"
"","p02-4-solid-surface-sheet/s05-3-img.jpg","corian bathtub"
"","p02-4-solid-surface-sheet/s05-4-img.jpg","corian table"
"","p02-4-solid-surface-sheet/s05-5-img.jpg",""
"","p02-4-solid-surface-sheet/s05-6-img.jpg",""
"","p02-4-solid-surface-sheet/s05-7-img.jpg",""
"","p02-4-solid-surface-sheet/s05-8-img.jpg",""
"","p02-4-solid-surface-sheet/s06-1-icon.png",""
"","p02-4-solid-surface-sheet/s06-2-icon.png",""
"","p02-4-solid-surface-sheet/s06-3-icon.png",""
"","p02-4-solid-surface-sheet/s06-4-icon.png",""
"","p02-4-solid-surface-sheet/s06-img1.jpg","solid surface workshop"
"","p02-4-solid-surface-sheet/s06-img2.jpg","solid surface workshop"
"","p03-applications/s01-img.jpg","corian wash basin slider"
"","p03-applications/s02-1-img.jpg",""
"","p03-applications/s02-2-img.jpg",""
"","p03-applications/s02-3-img.jpg",""
"","p03-applications/s02-4-img.jpg",""
"","p03-applications/s02-5-img.jpg",""
"","p03-applications/s02-7-img.jpg",""
"","p03-applications/s02-8-img.jpg",""
"","p03-applications/s03-img.jpg",""
"","p03-applications/s05-6-img.jpg",""
"","p03-1-bathroom/s01-img.jpg","bathroom and other solid surface products slider"
"","p04-customization/s01-img.jpg","customization slider"
"","p04-customization/s03-img1.jpg","product catalog"
"","p04-customization/s03-img2.jpg","solid surface showroom of ETB"
"","p04-customization/s03-img3.jpg","ETB staff is taking about designs of solid surface products"
"","p04-customization/s04-img1.jpg","ETB staff is sketching customer's design"
"","p04-customization/s04-img2.jpg","ETB staff members are talking about the designs"
"","p04-customization/s05-img1.jpg","molds workshop of solid surface bathtub "
"","p04-customization/s05-img2.jpg","worker is polishing the surface of solid surface sheet"
"","p04-customization/s05-img3.jpg","people is inspecting the surface of corian bathtub"
"","p04-customization/s06-img1.jpg",""
"","p04-customization/s06-img2.jpg","solid surface sample"
"","p04-customization/s06-img3.jpg","solid surface design sketch"
"","p04-1-why-solid-surface/s01-img.jpg","why solid surface slider"
"","p04-1-why-solid-surface/s02-1-img.jpg","SGS Test Report"
"","p04-1-why-solid-surface/s02-2-img.jpg","CE Certificate"
"","p04-1-why-solid-surface/s02-3-img.jpg","Adhesive Test Report"
"","p04-1-why-solid-surface/s02-4-img.jpg","CA65 Test Report"
"","p04-1-why-solid-surface/s02-5-img.jpg","MSDS Test Report"
"","p04-1-why-solid-surface/s02-6-img.jpg","UV Test Report"
"","p04-1-why-solid-surface/s02-img.jpg","sollid surface introduction "
"","p04-1-why-solid-surface/s03-1-icon.png","Seamlessly Constructed icon"
"","p04-1-why-solid-surface/s03-2-icon.png","Durable icon"
"","p04-1-why-solid-surface/s03-3-icon.png","Machinable icon"
"","p04-1-why-solid-surface/s03-4-icon.png","Easy-to-Repair icon"
"","p04-1-why-solid-surface/s03-5-icon.png","Chemical-Resistant icon"
"","p04-1-why-solid-surface/s03-6-icon.png","Nonporous icon"
"","p04-2-color-inspration/s01-img.jpg","color slider"
"","p04-2-color-inspration/s02-img.jpg","color palatte for solid surface products"
"","p04-2-color-inspration/s06-img.jpg","colorists are mixing colors"
"","p04-2-color-inspration/s07-img.jpg","colorists are testing colors"
"","p04-3-pattern-inspiration/s01-img.jpg","pattern slider"
"","p04-3-pattern-inspiration/s04-img.jpg","translucent solid surface sheet "
"","p04-4-design-inspiration/s01-img.jpg","design inspiration banner"
"","p04-4-design-inspiration/s03-1-img.jpg","Waterfali"
"","p04-4-design-inspiration/s03-10-img.jpg","SE"
"","p04-4-design-inspiration/s03-11-img.jpg","Sharp Edge"
"","p04-4-design-inspiration/s03-12-img.jpg","Double Top Bulinose"
"","p04-4-design-inspiration/s03-13-img.jpg",""
"","p04-4-design-inspiration/s03-14-img.jpg",""
"","p04-4-design-inspiration/s03-2-img.jpg",""
"","p04-4-design-inspiration/s03-3-img.jpg","Bulinose"
"","p04-4-design-inspiration/s03-4-img.jpg","Half Bulinose"
"","p04-4-design-inspiration/s03-5-img.jpg",""
"","p04-4-design-inspiration/s03-6-img.jpg",""
"","p04-4-design-inspiration/s03-7-img.jpg",""
"","p04-4-design-inspiration/s03-8-img.jpg","Top Bulinose"
"","p04-4-design-inspiration/s03-9-img.jpg","Double Dupont"
"","p04-4-design-inspiration/s03-img1.jpg",""
"","p04-4-design-inspiration/s03-img10.jpg",""
"","p04-4-design-inspiration/s03-img11.jpg",""
"","p04-4-design-inspiration/s03-img12.jpg",""
"","p04-4-design-inspiration/s03-img13.jpg",""
"","p04-4-design-inspiration/s03-img14.jpg",""
"","p04-4-design-inspiration/s03-img2.jpg",""
"","p04-4-design-inspiration/s03-img3.jpg",""
"","p04-4-design-inspiration/s03-img4.jpg",""
"","p04-4-design-inspiration/s03-img5.jpg",""
"","p04-4-design-inspiration/s03-img6.jpg",""
"","p04-4-design-inspiration/s03-img7.jpg",""
"","p04-4-design-inspiration/s03-img8.jpg",""
"","p04-4-design-inspiration/s03-img9.jpg",""
"","p04-4-design-inspiration/s04-img1.jpg","ETB showroom "
"","p04-4-design-inspiration/s04-img2.jpg","corian bathtub in ETB showroom"
"","p04-4-design-inspiration/s04-img3.jpg","corian bathroom accessories in ETB showrom"
"","p05-projects/s01-img.jpg","Projects slider"
"","p06-1-manufacturing/s01-img.jpg","manufacturing slider"
"","p06-1-manufacturing/s010-img.jpg",""
"","p06-1-manufacturing/s02-01-img1.jpg",""
"","p06-1-manufacturing/s02-01-img2.jpg",""
"","p06-1-manufacturing/s02-01-img3.jpg",""
"","p06-1-manufacturing/s02-01-img4.jpg",""
"","p06-1-manufacturing/s02-01-img5.jpg",""
"","p06-1-manufacturing/s03-1-img.jpg",""
"","p06-1-manufacturing/s04-1-img.jpg",""
"","p06-1-manufacturing/s05-img.jpg",""
"","p06-1-manufacturing/s06-img.jpg",""
"","p06-1-manufacturing/s07-img.jpg",""
"","p06-1-manufacturing/s08-img.jpg",""
"","p06-1-manufacturing/s09-img.jpg",""
"","p06-2-quality/s01-img.jpg",""
"","p06-2-quality/s03-img.jpg",""
"","p06-2-quality/s04-img.jpg",""
"","p06-2-quality/s05-img.jpg",""
"","p06-2-quality/s06-img.jpg",""
"","p08-1-company/s01-img.jpg",""
"","p08-1-company/s03-img.jpg",""
"","p08-1-company/s08-img.jpg",""
"","p08-3-factory/s01-img.jpg",""
"","p08-3-factory/s03-1-img.jpg",""
"","p08-3-factory/s03-2-img.jpg",""
"","p08-3-factory/s03-3-img.jpg",""
"","p08-3-factory/s04-1-img.jpg",""
"","p08-3-factory/s04-2-img.jpg",""
"","p08-3-factory/s04-3-img.jpg",""
"","p08-3-factory/s04-4-img.jpg",""
"","p08-3-factory/s05-1-img.jpg",""
"","p08-3-factory/s05-2-img.jpg",""
"","p08-3-factory/s05-3-img.jpg",""
"","p08-3-factory/s06-1-img.jpg",""
"","p08-3-factory/s06-2-img.jpg",""
"","p08-3-factory/s06-3-img.jpg",""
"","p08-3-factory/s06-4-img.jpg",""
"","p08-3-factory/s06-5-img.jpg",""
"","p08-3-factory/s06-6-img.jpg",""
"","p08-4-kkr-service/s01-img.jpg",""
"","p08-4-kkr-service/s03-img.jpg",""
"","p08-4-kkr-service/s04-img.jpg",""
"","p08-4-kkr-service/s05-img.jpg","solid surface samples in the box"
"","p08-4-kkr-service/s06-img.jpg",""
"","p08-4-kkr-service/s07-img.jpg",""
"","p08-4-kkr-service/s08-img.jpg",""
"","p08-4-kkr-service/s09-img.jpg","professional consultation"
"","p09-contact/s01-img.jpg",""
"","p09-contact/s02-img.jpg",""
"","bottom/logo-img.png","Enjoy THE BATH logo"
"","nav/favicon.ico","Enjoy THE BATH logo"
"","nav/logo-img.png","Enjoy THE BATH logo"
"","resources/font_1517560_r36x8giuhs/iconfont.svg",""